"No","Title_en","OctetNo","Contents_en","Note_en","Status"
129.00,"Grid definition template 3.20 - polar stereographic projection","15","Shape of the Earth","(see Code table 3.2)","Operational"
130.00,"Grid definition template 3.20 - polar stereographic projection","16","Scale factor of radius of spherical Earth",,"Operational"
131.00,"Grid definition template 3.20 - polar stereographic projection","17-20","Scaled value of radius of spherical Earth",,"Operational"
132.00,"Grid definition template 3.20 - polar stereographic projection","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
133.00,"Grid definition template 3.20 - polar stereographic projection","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
134.00,"Grid definition template 3.20 - polar stereographic projection","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
135.00,"Grid definition template 3.20 - polar stereographic projection","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
136.00,"Grid definition template 3.20 - polar stereographic projection","31-34","Nx - number of points along the x-axis",,"Operational"
137.00,"Grid definition template 3.20 - polar stereographic projection","35-38","Ny - number of points along the y-axis",,"Operational"
138.00,"Grid definition template 3.20 - polar stereographic projection","39-42","La1 - latitude of first grid point",,"Operational"
139.00,"Grid definition template 3.20 - polar stereographic projection","43-46","Lo1 - longitude of first grid point",,"Operational"
140.00,"Grid definition template 3.20 - polar stereographic projection","47","Resolution and component flags","(see Flag table 3.3 and Note 1)","Operational"
141.00,"Grid definition template 3.20 - polar stereographic projection","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
142.00,"Grid definition template 3.20 - polar stereographic projection","52-55","LoV - orientation of the grid","(see Note 2)","Operational"
143.00,"Grid definition template 3.20 - polar stereographic projection","56-59","Dx - x-direction grid length","(see Note 3)","Operational"
144.00,"Grid definition template 3.20 - polar stereographic projection","60-63","Dy - y-direction grid length","(see Note 3)","Operational"
145.00,"Grid definition template 3.20 - polar stereographic projection","64","Projection centre flag","(see Flag table 3.5)","Operational"
146.00,"Grid definition template 3.20 - polar stereographic projection","65","Scanning mode","(see Flag table 3.4)","Operational"
147.00,"Grid definition template 3.30 - Lambert conformal","15","Shape of the Earth","(see Code table 3.2)","Operational"
148.00,"Grid definition template 3.30 - Lambert conformal","16","Scale factor of radius of spherical Earth",,"Operational"
149.00,"Grid definition template 3.30 - Lambert conformal","17-20","Scaled value of radius of spherical Earth",,"Operational"
150.00,"Grid definition template 3.30 - Lambert conformal","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
151.00,"Grid definition template 3.30 - Lambert conformal","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
152.00,"Grid definition template 3.30 - Lambert conformal","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
153.00,"Grid definition template 3.30 - Lambert conformal","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
154.00,"Grid definition template 3.30 - Lambert conformal","31-34","Nx - number of points along the x-axis",,"Operational"
155.00,"Grid definition template 3.30 - Lambert conformal","35-38","Ny - number of points along the y-axis",,"Operational"
156.00,"Grid definition template 3.30 - Lambert conformal","39-42","La1 - latitude of first grid point",,"Operational"
157.00,"Grid definition template 3.30 - Lambert conformal","43-46","Lo1 - longitude of first grid point",,"Operational"
158.00,"Grid definition template 3.30 - Lambert conformal","47","Resolution and component flags","(see Flag table 3.3)","Operational"
159.00,"Grid definition template 3.30 - Lambert conformal","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
160.00,"Grid definition template 3.30 - Lambert conformal","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
161.00,"Grid definition template 3.30 - Lambert conformal","56-59","Dx - x-direction grid length","(see Note 1)","Operational"
162.00,"Grid definition template 3.30 - Lambert conformal","60-63","Dy - y-direction grid length","(see Note 1)","Operational"
163.00,"Grid definition template 3.30 - Lambert conformal","64","Projection centre flag","(see Flag table 3.5)","Operational"
164.00,"Grid definition template 3.30 - Lambert conformal","65","Scanning mode","(see Flag table 3.4)","Operational"
165.00,"Grid definition template 3.30 - Lambert conformal","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
166.00,"Grid definition template 3.30 - Lambert conformal","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
167.00,"Grid definition template 3.30 - Lambert conformal","74-77","Latitude of the southern pole of projection",,"Operational"
168.00,"Grid definition template 3.30 - Lambert conformal","78-81","Longitude of the southern pole of projection",,"Operational"
169.00,"Grid definition template 3.31 - Albers equal area","15","Shape of the Earth","(see Code table 3.2)","Operational"
170.00,"Grid definition template 3.31 - Albers equal area","16","Scale factor of radius of spherical Earth",,"Operational"
171.00,"Grid definition template 3.31 - Albers equal area","17-20","Scaled value of radius of spherical Earth",,"Operational"
172.00,"Grid definition template 3.31 - Albers equal area","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
173.00,"Grid definition template 3.31 - Albers equal area","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
174.00,"Grid definition template 3.31 - Albers equal area","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
175.00,"Grid definition template 3.31 - Albers equal area","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
176.00,"Grid definition template 3.31 - Albers equal area","31-34","Nx - number of points along the x-axis",,"Operational"
177.00,"Grid definition template 3.31 - Albers equal area","35-38","Ny - number of points along the y-axis",,"Operational"
178.00,"Grid definition template 3.31 - Albers equal area","39-42","La1 - latitude of first grid point",,"Operational"
179.00,"Grid definition template 3.31 - Albers equal area","43-46","Lo1 - longitude of first grid point",,"Operational"
180.00,"Grid definition template 3.31 - Albers equal area","47","Resolution and component flags","(see Flag table 3.3)","Operational"
181.00,"Grid definition template 3.31 - Albers equal area","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
182.00,"Grid definition template 3.31 - Albers equal area","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
183.00,"Grid definition template 3.31 - Albers equal area","56-59","Dx - x-direction grid length","(see Note 1)","Operational"
184.00,"Grid definition template 3.31 - Albers equal area","60-63","Dy - y-direction grid length","(see Note 1)","Operational"
185.00,"Grid definition template 3.31 - Albers equal area","64","Projection centre flag","(see Flag table 3.5)","Operational"
186.00,"Grid definition template 3.31 - Albers equal area","65","Scanning mode","(see Flag table 3.4)","Operational"
187.00,"Grid definition template 3.31 - Albers equal area","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
188.00,"Grid definition template 3.31 - Albers equal area","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
189.00,"Grid definition template 3.31 - Albers equal area","74-77","Latitude of the southern pole of projection",,"Operational"
190.00,"Grid definition template 3.31 - Albers equal area","78-81","Longitude of the southern pole of projection",,"Operational"
191.00,"Grid definition template 3.40 - Gaussian latitude/longitude","15","Shape of the Earth","(see Code table 3.2)","Operational"
192.00,"Grid definition template 3.40 - Gaussian latitude/longitude","16","Scale factor of radius of spherical Earth",,"Operational"
193.00,"Grid definition template 3.40 - Gaussian latitude/longitude","17-20","Scaled value of radius of spherical Earth",,"Operational"
194.00,"Grid definition template 3.40 - Gaussian latitude/longitude","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
195.00,"Grid definition template 3.40 - Gaussian latitude/longitude","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
196.00,"Grid definition template 3.40 - Gaussian latitude/longitude","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
197.00,"Grid definition template 3.40 - Gaussian latitude/longitude","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
198.00,"Grid definition template 3.40 - Gaussian latitude/longitude","31-34","Ni - number of points along a parallel",,"Operational"
199.00,"Grid definition template 3.40 - Gaussian latitude/longitude","35-38","Nj - number of points along a meridian",,"Operational"
200.00,"Grid definition template 3.40 - Gaussian latitude/longitude","39-42","Basic angle of the initial production domain","(see Note 1)","Operational"
201.00,"Grid definition template 3.40 - Gaussian latitude/longitude","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)","Operational"
202.00,"Grid definition template 3.40 - Gaussian latitude/longitude","47-50","La1 - latitude of first grid point","(see Note 1)","Operational"
203.00,"Grid definition template 3.40 - Gaussian latitude/longitude","51-54","Lo1 - longitude of first grid point","(see Note 1)","Operational"
204.00,"Grid definition template 3.40 - Gaussian latitude/longitude","55","Resolution and component flags","(see Flag table 3.3)","Operational"
205.00,"Grid definition template 3.40 - Gaussian latitude/longitude","56-59","La2 - latitude of last grid point","(see Note 1)","Operational"
206.00,"Grid definition template 3.40 - Gaussian latitude/longitude","60-63","Lo2 - longitude of last grid point","(see Note 1)","Operational"
207.00,"Grid definition template 3.40 - Gaussian latitude/longitude","64-67","Di - i direction increment","(see Notes 1 and 5)","Operational"
208.00,"Grid definition template 3.40 - Gaussian latitude/longitude","68-71","N - number of parallels between a pole and the Equator","(see Note 2)","Operational"
209.00,"Grid definition template 3.40 - Gaussian latitude/longitude","72","Scanning mode","(flags - see Flag table 3.4)","Operational"
210.00,"Grid definition template 3.40 - Gaussian latitude/longitude","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
211.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
212.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
213.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
214.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
215.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
216.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
217.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","73-76","Latitude of the pole of stretching",,"Operational"
218.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","77-80","Longitude of the pole of stretching",,"Operational"
219.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","81-84","Stretching factor",,"Operational"
220.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)","Operational"
221.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)","Operational"
222.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
223.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
224.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
225.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","85-88","Latitude of the pole of stretching",,"Operational"
226.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","89-92","Longitude of the pole of stretching",,"Operational"
227.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","93-96","Stretching factor",,"Operational"
228.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 5)","Operational"
229.00,"Grid definition template 3.50 - spherical harmonic coefficients","15-18","J - pentagonal resolution parameter",,"Operational"
230.00,"Grid definition template 3.50 - spherical harmonic coefficients","19-22","K - pentagonal resolution parameter",,"Operational"
231.00,"Grid definition template 3.50 - spherical harmonic coefficients","23-26","M - pentagonal resolution parameter",,"Operational"
232.00,"Grid definition template 3.50 - spherical harmonic coefficients","27","Representation type indicating the method used to define the norm","(see Code table 3.6)","Operational"
233.00,"Grid definition template 3.50 - spherical harmonic coefficients","28","Representation mode indicating the order of the coefficients","(see Code table 3.7)","Operational"
234.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
235.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
236.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
237.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
238.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
239.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","29-32","Latitude of the pole of stretching",,"Operational"
240.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","33-36","Longitude of the pole of stretching",,"Operational"
241.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","37-40","Stretching factor",,"Operational"
242.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
243.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
244.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
245.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
246.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","41-44","Latitude of pole of stretching",,"Operational"
247.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","45-48","Longitude of pole of stretching",,"Operational"
248.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","49-52","Stretching factor",,"Operational"
249.00,"Grid definition template 3.90 - space view perspective or orthographic","15","Shape of the Earth","(see Code table 3.2)","Operational"
250.00,"Grid definition template 3.90 - space view perspective or orthographic","16","Scale factor of radius of spherical Earth",,"Operational"
251.00,"Grid definition template 3.90 - space view perspective or orthographic","17-20","Scaled value of radius of spherical Earth",,"Operational"
252.00,"Grid definition template 3.90 - space view perspective or orthographic","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
